Major,Entropy
0,5.581011745657288
1,5.625776103233851
2,5.674986578252925
3,5.675047157890326
4,5.734102220358938
5,5.701245866433168
6,5.756752504233655
7,5.760234742775076
8,5.771285512273898
9,5.841160872689922
10,5.832294555821618
11,5.841217550707906
12,5.88325698969723
13,5.88738655687701
14,5.86011850830375
15,5.90733710531129
16,5.927371803173739
17,5.911301004948567
18,5.9324171276986135
19,5.917602111608707
