Major,Entropy
0,5.127067754310038
1,5.187753948270851
2,5.3052070968791325
3,5.412560326487105
4,5.4327666485766155
5,5.50972799109416
6,5.573952693448334
7,5.642303529693962
8,5.676190259136449
9,5.681839452420928
10,5.739980309489221
11,5.778213303141362
12,5.79921631469683
13,5.798409956741128
14,5.847843035817071
