major,adult_entropy,breast_cancer_entropy,bitcoin_heist_entropy
0,2.6907683448310555,2.301608074329679,2.216727728929464
1,2.5793721944574934,2.4389702061183196,2.2599238481120585
2,2.6435950437178892,2.6295603913404024,2.5092639875480254
3,2.695967356480518,2.6381826239496955,2.5167697826040074
