major,GlassIdentification_entropy
0,4.497741806426875
2,4.566207082012477
4,4.575162468684747
6,4.499352988857585
8,4.618523859384009
10,4.594555942509087
12,4.611479527334171
14,4.673836842824554
16,4.6182967722101225
18,4.642316479306452
20,4.674226594078639
22,4.682623628733277
24,4.68495359877774
26,4.705217570516875
28,4.705488687144754
30,4.699372175997182
32,4.698330048954238
34,4.715903198573596
36,4.726933842687859
38,4.699040187648651
40,4.731221029371942
