major,gendergap_entropy
0,4.99981881317877
1,4.934806714918913
2,4.8757400724226585
3,4.710223974017401
4,4.756065702454772
5,4.887469347439151
6,4.79787310268668
7,4.863473218791039
8,5.250711955819633
9,4.803440100430696
10,5.436863816185904
11,5.2473538800364175
12,5.21097314530567
13,5.638479046022713
14,4.961810319821001
15,5.215150597671019
16,5.249266455949485
17,5.23046735166051
18,5.187838076288015
19,5.047607955350099
