major,seismicbumps_entropy
0,5.25123767656468
1,5.355404544589971
2,5.397484074855741
3,5.408622047331746
4,5.813670247146843
5,5.592686867982786
6,5.345309104431072
7,5.534879729293508
8,5.471095618613174
9,5.510528742872749
10,5.41821268237185
11,5.673134238122001
12,5.705328735810269
13,5.8463845768114275
14,5.839983292257693
15,5.861248047713449
16,5.851189358652839
17,5.843590849560714
18,5.865906809143526
19,5.857383141015996
