major,HeartDisease_entropy
0,4.659091520576818
2,4.725367387047002
4,4.70602568713155
6,4.685830603325287
8,4.727538870846618
10,4.712939246978572
12,4.707628591863517
14,4.728218161168493
16,4.729053754542931
18,4.730453579318458
20,4.722955350025647
22,4.731021188297354
24,4.728407789048898
26,4.741349590509287
28,4.727611556165887
30,4.728375427891938
32,4.731003938228723
34,4.738521649406908
36,4.719779367631827
38,4.732478735864995
40,4.725936726194335
