major,adult_entropy
0,3.787583591917408
2,3.935850819214574
4,4.073491876835846
6,4.135927392909514
8,4.356372654048081
10,4.377947329583439
12,4.4579539439066185
14,4.547183045680668
16,4.5836870215568455
18,4.566307371498896
20,4.657994310534936
22,4.66098349506636
24,4.679251540000157
26,4.712880761588568
28,4.714917193135392
30,4.722743855426424
32,4.736012174860637
34,4.729926146703798
36,4.709402163390714
38,4.732021384402108
40,4.728464058688204
