major,eyestate_entropy
0,4.981700510344554
1,4.882138029906099
2,4.941503792374247
3,5.045050430502675
4,4.9421167484364386
5,4.860428906227984
6,4.976850788103005
7,4.8181675362749505
8,4.881387515727475
9,4.780481497960085
10,4.914767931696031
11,4.681917025252241
12,4.732578533745373
13,4.817840022561818
14,4.640152685581659
15,4.57624798368737
16,4.605346751439126
17,4.50206923331087
18,4.616134892041982
19,4.604263968092985
