major,Ionosphere_entropy
0,4.177220307925352
2,4.37809669945445
4,4.261301117293038
6,4.418775600778668
8,4.47800463624569
10,4.557569193396345
12,4.661958929355743
14,4.670206578558335
16,4.538893203679772
18,4.66600803159321
20,4.657335478208412
22,4.701776547264804
24,4.720496442060335
26,4.6941258894859175
28,4.7323288659466565
30,4.700549751925364
32,4.734616671199008
34,4.7297752611107455
36,4.723202611417662
38,4.722847016459588
40,4.7403978746414595
