major,biodegradation_entropy
0,4.048357735483444
2,4.094714858557661
4,4.227854509047646
6,4.283638909115107
8,4.350457767919832
10,4.462898459230558
12,4.51334989888989
14,4.519560670370991
16,4.63828708028179
18,4.601126149632055
20,4.696007033264652
22,4.66980941569475
24,4.677727291047912
26,4.683076465560504
28,4.687727700385128
30,4.731388207835447
32,4.730512329949469
34,4.721706616247624
36,4.722298394115269
38,4.713477187980814
40,4.725004632130474
