major,couponrecommendation_entropy
0,5.669303539800199
1,5.411943109826766
2,5.582849742043583
3,5.588689180620141
4,5.337863380382233
5,5.339863069345126
6,5.485723414873661
7,5.326851949046855
8,5.209133445127797
9,5.2804256086212575
10,5.195882905220461
11,5.263542420511459
12,5.19465290470904
13,5.20549088059308
14,5.019811703746169
15,5.162276876859496
16,5.008784860685353
17,4.904762811729011
18,4.92354861644788
19,4.924418427822141
