major,auctionverification_entropy
0,5.5727931625433245
1,5.698728543141181
2,5.6226165886133135
3,5.616412748791372
4,5.708063978774112
5,5.719565936053179
6,5.781857743550754
7,5.707882249427046
8,5.6252495970243395
9,5.71530142292457
10,5.644990805767534
11,5.645916188502892
12,5.567073179570366
13,5.6379373497932
14,5.498647821246565
15,5.586974276038653
16,5.502068237140358
17,5.507988996539603
18,5.548770335748835
19,5.481020103248214
