major,BreastCancer_entropy
0,4.649702256927041
2,4.67415905451307
4,4.692308246912979
6,4.688727980835081
8,4.692009046609256
10,4.706287672741099
12,4.721004116944409
14,4.7187713372204785
16,4.715466257428669
18,4.699081354917821
20,4.708266221945912
22,4.710423898831515
24,4.716706901380859
26,4.7337144698674445
28,4.720141304486184
30,4.73149845991387
32,4.722179613392516
34,4.718476851535319
36,4.705006071462786
38,4.718543366031329
40,4.71388949084645
