major,winequality_entropy
0,3.8410910597003194
1,3.6597982370908593
2,3.7240470337014626
3,3.6249049978130303
4,3.7282102898505007
5,3.6816536392110426
6,3.7198029980945755
7,3.6492968788600497
8,3.6420416481096707
9,3.6165447363594403
10,3.591406915546189
11,3.4778233402972543
12,3.5497570694883285
13,3.5092395825828975
