major,recognitionhandwrittendigits_entropy
0,4.433217034770355
1,4.562121474859996
2,4.511521979506119
3,4.702058018696994
4,4.586977018375421
5,4.647206837300822
6,4.606539712295794
7,4.8538319294877965
8,4.687042611689813
9,4.809127440311954
