major,maternalhealthrisk_entropy
0,5.48552796821874
1,5.648724142455174
2,5.485822653761566
3,5.474857230389551
4,5.493658464843499
5,5.496998771063831
6,5.516696254453407
7,5.638653078269575
8,5.614019496023969
9,5.4567122482125985
10,5.564201754095924
11,5.362415231642968
12,5.603572658415897
13,5.514635356738603
14,5.490566866054811
15,5.51259889654408
16,5.5744967402963335
17,5.534197489814703
18,5.530862812041588
19,5.649171448610739
