major,winequality_entropy
0,2.6275380849170595
2,2.6080298159115203
4,2.565133190928449
6,2.56547525407132
8,2.5305287454673433
10,2.6019720068087375
12,2.478104648036988
14,2.4961152067817656
16,2.5517554160698834
18,2.5027033143882527
20,2.5126351258065522
22,2.458858649385512
24,2.481164422049619
26,2.4476643598399246
28,2.4429401544977214
30,2.446000383553523
32,2.4764242912356305
34,2.451737040640624
36,2.423628184977304
38,2.4476971208698366
40,2.42364456549226
