major,obesitydataset_entropy
0,5.177200277377207
1,5.153894283084817
2,5.168950067050738
3,5.179521310698632
4,5.187862255037026
5,5.204723456838202
6,5.239707954815575
7,5.238115629602271
8,5.358732432529846
9,5.51126801483754
10,5.616359494267688
11,5.81424694877273
12,5.517032584973645
13,5.608575736927895
