major,Abalone_entropy
0,4.609492017564711
2,4.499206343568429
4,4.6469962515949526
6,4.5575668732110834
8,4.6279440706716315
10,4.601895149866023
12,4.60479950580737
14,4.54431466606303
16,4.499023620773619
18,4.519739271066227
20,4.597574074781908
22,4.580342590679254
24,4.48492078818778
26,4.594976621678721
28,4.507325830016986
30,4.359775189803603
32,4.597977737590105
34,4.553459519516667
36,4.547654610826662
38,4.5803517322974265
40,4.523727993666259
