major,LiverDisorder_entropy
0,4.689587701607063
2,4.705828470038324
4,4.68561136979699
6,4.686440559769521
8,4.650883134573507
10,4.66253822700934
12,4.683294437339613
14,4.627793671846978
16,4.6792665767605035
18,4.683954182303645
20,4.6686962711918065
22,4.697081606317429
24,4.649852261696506
26,4.693182843512595
28,4.660183656828382
30,4.688646468265729
32,4.6276483657723935
34,4.714546383336579
36,4.679336970214936
38,4.6880403276151625
40,4.727443916086286
