major,yeast_entropy
0,5.37274805634515
1,5.487129128606761
2,5.473100203177821
3,5.4734522105973085
4,5.495061706276392
5,5.433785582645863
6,5.348077436771271
7,5.457752875807147
8,5.419827904762654
9,5.467281231519928
