major,firmteacherclavedirection_entropy
0,5.761763957604387
1,5.779093580072785
2,5.7986954756528055
3,5.821360649780246
4,5.8287276843343605
5,5.807532703218726
6,5.812314554151678
7,5.815754572427645
8,5.798103228869172
9,5.838602337127188
10,5.826264669901075
11,5.816819007328679
12,5.8055209552470455
13,5.817010444825044
14,5.792325345114463
15,5.835807288748264
16,5.8276577221240355
17,5.791585935985172
18,5.813434061329748
19,5.815583257559987
