major,phishingwebsites_entropy
0,2.6946683333929196
5,3.149775102773261
10,3.1774172254208173
15,3.1856876277961828
20,3.175938298341034
25,3.1848064344032543
30,3.184489443034813
35,3.189206903114134
40,3.1939808380517185
