major,steelplatefault_entropy
0,4.959566297969394
1,5.134532621563078
2,5.117211052285011
3,4.999620405775467
4,5.294620086064011
5,4.884841733273037
6,5.1059136583870135
7,4.983661891997525
8,5.319524811938126
9,5.017014068703226
10,5.1083405829184585
11,4.94663719241831
12,4.949872116762759
13,5.026454514241163
