major,BreastCancerWisconsin_entropy
0,4.00341483997464
2,4.209431697250253
4,4.305370570163737
6,4.413697373375486
8,4.558982281414366
10,4.640944775727334
12,4.656632776916196
14,4.669364182855778
16,4.676247901271304
18,4.714847723767448
20,4.729491521301958
22,4.721265696023596
24,4.7218237570377415
26,4.709617223934469
28,4.723023395930705
30,4.727286427839427
32,4.738973558165634
34,4.709965959077171
36,4.725461245878203
38,4.7163533501363535
40,4.722161057310315
