major,gesturephase_entropy
0,4.948400809328643
1,4.854113278249184
2,4.812985324611413
3,4.872015768757036
4,4.838152442577392
5,4.948092285167801
6,5.0099697626913215
7,5.119417968774458
8,5.283124589302718
9,5.11836611129031
10,5.392628194835739
11,5.394726145567434
12,5.255758528752634
13,5.759672417827692
14,5.341135297821243
15,5.709207231275944
16,5.731534903364457
17,5.598584721684442
18,5.754789118066629
19,5.639858986620496
