major,nursery_entropy
0,5.197018550014179
1,5.277484653598133
2,5.38888977315397
3,5.4762493434104
4,5.570969612666769
5,5.677161527404538
6,5.707646155684481
7,5.7487719482608615
8,5.813752465534346
9,5.8196906217750595
10,5.80131204437684
11,5.849553737688621
12,5.854267749165649
13,5.846822760741704
14,5.851730538436048
15,5.8637063412339945
16,5.846346588019432
17,5.835971282109677
18,5.844885647024881
19,5.8401265290490745
