major,mushroom_entropy
0,3.4262703419351195
2,3.605240565062857
4,3.8482039903656524
6,4.0158871716766
8,4.071191473169943
10,4.1332026978114085
12,4.288510186081797
14,4.3196585439013635
16,4.480265072726922
18,4.5261401319628
20,4.563448338038271
22,4.573445849017084
24,4.63742399994589
26,4.6248619715659425
28,4.667461349872373
30,4.665940614498284
32,4.706215586733762
34,4.716719678504992
36,4.703764241093486
38,4.70956525457908
40,4.720998193325531
