major,shillbidding_entropy
0,5.16044617349298
1,5.340570315550609
2,5.324407145412833
3,5.315732069318194
4,5.190129415350274
5,5.283300168600321
6,5.2657088214780865
7,5.160019400999952
8,5.103479736277521
9,5.158266222856411
10,5.072316787199139
11,5.445871078447654
12,5.047939708829681
13,5.275860191965437
14,5.503812639966023
15,5.475751092897738
16,5.542708458522153
17,5.537760707229812
18,5.5142547135031394
19,5.469455085574633
