major,hepatisisc_entropy
0,4.792967576325358
1,4.80094604487768
2,4.867235261513863
3,4.784535931398571
4,4.786644821114373
5,4.869123519700299
6,4.852442311063599
7,4.823261825678996
8,4.871521052815704
9,4.8928769009882895
10,4.788726531573889
11,4.826778797214865
12,4.8485060124112795
13,4.808726543089708
14,4.8376046469899725
15,4.925856311019268
16,4.8849765317206435
17,4.783416341794409
18,5.03129255611067
19,4.799166597367275
