major,spambase_entropy
0,3.320234280947116
2,3.4844773263900133
4,3.62894348724559
6,3.809986168883377
8,3.8963096816396043
10,3.926424423767168
12,4.018850034298588
14,4.145552365458645
16,4.26105305213182
18,4.367464338991679
20,4.457615650449725
22,4.516524145097845
24,4.581574552558117
26,4.6048445745277355
28,4.682911873003956
30,4.720825210531719
32,4.704693858537739
34,4.692609797011806
36,4.72935003684231
38,4.724147896868072
40,4.709430558183001
