,dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,num_of_branches,branching_ratio
40,adult,workclass,40,34,58,6,1,5,-1,0.029411764705882353,0.02941176470588235,4.5,4.75,21,118,0.17796610169491525
41,adult,workclass,41,50,74,9,1,11,-1,0.02,0.02,4.0,4.714285714285714,23,150,0.15333333333333332
42,adult,workclass,42,38,60,8,1,10,-1,0.02631578947368421,0.02631578947368421,4.5,4.5,23,124,0.18548387096774194
43,adult,workclass,43,41,62,6,1,5,-1,0.024390243902439025,0.024390243902439025,4.5,4.625,23,132,0.17424242424242425
44,adult,workclass,44,48,68,11,1,9,-1,0.020833333333333332,0.020833333333333332,4.0,4.0,27,138,0.1956521739130435
45,adult,workclass,45,46,66,9,1,6,-1,0.021739130434782608,0.021739130434782608,4.0,4.0,28,136,0.20588235294117646
46,adult,workclass,46,43,63,7,1,5,-1,0.02325581395348837,0.02325581395348837,4.0,4.428571428571429,21,128,0.1640625
47,adult,workclass,47,34,58,5,1,3,-1,0.029411764705882366,0.02941176470588235,4.5,5.625,20,128,0.15625
48,adult,workclass,48,48,73,7,1,6,-1,0.020833333333333332,0.02083333333333334,3.5,3.6666666666666665,26,148,0.17567567567567569
49,adult,workclass,49,42,75,6,1,7,-1,0.023809523809523815,0.023809523809523808,4.5,4.75,24,154,0.15584415584415584
50,adult,workclass,50,42,70,7,1,15,-1,0.023809523809523808,0.023809523809523815,6.0,5.666666666666667,20,146,0.136986301369863
51,adult,workclass,51,47,70,8,1,5,-1,0.021276595744680847,0.02127659574468085,4.5,4.75,27,146,0.18493150684931506
52,adult,workclass,52,40,64,7,1,7,-1,0.025000000000000005,0.025,5.0,5.285714285714286,24,132,0.18181818181818182
53,adult,workclass,53,46,71,6,1,5,-1,0.021739130434782608,0.021739130434782608,4.5,4.75,28,144,0.19444444444444445
54,adult,workclass,54,39,55,9,1,3,-1,0.025641025641025637,0.02564102564102564,3.5,5.0,32,114,0.2807017543859649
55,adult,workclass,55,40,62,7,1,8,-1,0.024999999999999994,0.025,4.0,4.857142857142857,20,130,0.15384615384615385
56,adult,workclass,56,46,75,7,1,10,-1,0.021739130434782615,0.021739130434782605,5.0,5.0,27,156,0.17307692307692307
57,adult,workclass,57,39,62,7,1,11,-1,0.02564102564102564,0.025641025641025637,4.0,4.0,18,128,0.140625
58,adult,workclass,58,42,62,7,1,5,-1,0.023809523809523808,0.023809523809523808,4.0,4.0,32,128,0.25
59,adult,workclass,59,43,68,7,1,8,-1,0.02325581395348837,0.02325581395348838,4.5,5.375,19,138,0.13768115942028986
