adult,age,0,98,1552,3,1,1,-1,0.010204081632653064,0.010204081632653059,37.0,43.34,51,8570,0.005950991831971996
adult,age,1,100,1479,4,1,3,-1,0.01,0.01,36.0,40.19230769230769,55,8634,0.0063701644660643965
adult,age,2,103,1479,4,1,3,-1,0.009708737864077667,0.009708737864077669,35.0,41.265306122448976,64,8608,0.007434944237918215
adult,age,3,100,1470,3,1,3,-1,0.01,0.010000000000000002,34.5,40.2,53,8670,0.006113033448673587
adult,age,4,96,1463,3,1,2,-1,0.010416666666666666,0.010416666666666666,33.0,40.056603773584904,70,8490,0.008244994110718492
adult,age,5,100,1446,4,1,2,-1,0.009999999999999998,0.010000000000000002,37.0,41.2,60,8528,0.007035647279549718
adult,age,6,104,1451,4,1,2,-1,0.009615384615384616,0.009615384615384618,38.0,40.81132075471698,64,8326,0.007686764352630314
adult,age,7,101,1465,4,1,2,-1,0.009900990099009901,0.0099009900990099,33.0,41.04081632653061,56,8486,0.0065991044072590144
adult,age,8,99,1431,4,1,2,-1,0.010101010101010104,0.010101010101010098,30.5,38.395833333333336,54,8408,0.006422454804947669
adult,age,9,94,1380,3,1,2,-1,0.010638297872340429,0.010638297872340424,32.5,39.59615384615385,52,8486,0.006127739806740514
adult,age,10,97,1534,3,1,2,-1,0.010309278350515462,0.010309278350515465,38.0,44.05769230769231,50,8474,0.0059004012272834555
adult,age,11,95,1553,3,1,2,-1,0.010526315789473684,0.010526315789473684,37.0,43.654545454545456,55,8868,0.006202074875958503
adult,age,12,99,1358,4,1,4,-1,0.010101010101010102,0.010101010101010102,35.0,39.254901960784316,56,8168,0.0068560235063663075
adult,age,13,101,1412,4,1,3,-1,0.009900990099009905,0.009900990099009901,30.5,38.5,51,8308,0.006138661531054405
adult,age,14,103,1449,3,1,2,-1,0.009708737864077673,0.009708737864077669,33.0,37.702127659574465,59,8208,0.007188109161793372
adult,age,15,103,1366,4,1,3,-1,0.009708737864077673,0.009708737864077669,31.0,37.0188679245283,60,8196,0.007320644216691069
adult,age,16,102,1379,4,1,4,-1,0.00980392156862745,0.009803921568627453,37.0,40.40384615384615,60,8386,0.007154781779155735
adult,age,17,98,1520,3,1,3,-1,0.01020408163265306,0.010204081632653064,34.5,37.64,63,8382,0.007516105941302791
adult,age,18,100,1452,3,1,2,-1,0.009999999999999998,0.009999999999999998,33.0,40.1764705882353,61,8380,0.007279236276849642
adult,age,19,96,1406,3,1,2,-1,0.010416666666666666,0.010416666666666666,32.5,38.916666666666664,51,8136,0.006268436578171091
adult,age,20,97,1331,4,1,5,-1,0.010309278350515464,0.010309278350515464,30.5,37.4,65,8308,0.007823784304285026
adult,age,21,101,1522,4,1,2,-1,0.009900990099009901,0.009900990099009901,32.0,40.244897959183675,64,8504,0.007525870178739417
adult,age,22,98,1520,4,1,3,-1,0.01020408163265306,0.01020408163265306,34.0,40.113207547169814,56,8476,0.0066068900424728644
adult,age,23,98,1418,4,1,2,-1,0.01020408163265306,0.010204081632653064,32.0,40.977777777777774,47,8144,0.005771119842829076
adult,age,24,100,1360,4,1,3,-1,0.01,0.01,30.0,38.283018867924525,52,8010,0.006491885143570537
adult,age,25,101,1590,3,1,1,-1,0.009900990099009901,0.0099009900990099,36.5,41.80357142857143,51,8924,0.005714926042133572
adult,age,26,98,1468,4,1,2,-1,0.010204081632653064,0.01020408163265306,32.0,37.795918367346935,53,8370,0.006332138590203106
adult,age,27,99,1464,4,1,2,-1,0.010101010101010102,0.010101010101010102,30.0,37.529411764705884,59,8342,0.007072644449772237
adult,age,28,101,1471,4,1,4,-1,0.009900990099009901,0.0099009900990099,32.0,37.333333333333336,63,8514,0.007399577167019027
adult,age,29,98,1422,4,1,3,-1,0.01020408163265306,0.010204081632653059,36.5,40.44444444444444,58,8148,0.007118311242022582
adult,age,30,100,1430,3,1,1,-1,0.009999999999999998,0.01,33.0,40.81481481481482,51,8538,0.0059732958538299364
adult,age,31,97,1425,3,1,3,-1,0.010309278350515462,0.010309278350515462,32.0,37.16326530612245,61,8252,0.00739214735821619
adult,age,32,101,1499,3,1,2,-1,0.009900990099009901,0.009900990099009896,34.5,41.44444444444444,53,8588,0.006171401956217979
adult,age,33,102,1392,4,1,3,-1,0.009803921568627449,0.009803921568627453,31.5,38.4,52,8186,0.006352308819936477
adult,age,34,102,1442,4,1,3,-1,0.009803921568627449,0.009803921568627449,34.0,38.04081632653061,61,8634,0.007065091498725967
adult,age,35,93,1401,3,1,2,-1,0.010752688172043012,0.010752688172043013,34.0,39.42,48,8300,0.005783132530120482
adult,age,36,101,1478,4,1,3,-1,0.0099009900990099,0.0099009900990099,33.0,39.48979591836735,49,8460,0.005791962174940898
adult,age,37,100,1386,4,1,2,-1,0.01,0.010000000000000002,29.0,37.5625,56,7866,0.007119247393846936
adult,age,38,98,1437,3,1,1,-1,0.01020408163265306,0.010204081632653064,29.5,39.84,59,8076,0.007305596830113918
adult,age,39,99,1470,3,1,3,-1,0.010101010101010102,0.010101010101010102,34.0,40.63636363636363,48,8638,0.005556841861542023
adult,age,40,103,1434,4,1,3,-1,0.009708737864077669,0.009708737864077669,37.0,40.212765957446805,53,8182,0.006477633830359326
adult,age,41,100,1448,4,1,2,-1,0.010000000000000002,0.009999999999999998,36.0,41.02,66,8184,0.008064516129032258
adult,age,42,100,1453,3,1,2,-1,0.009999999999999998,0.01,36.0,40.8235294117647,46,8342,0.005514265164229201
adult,age,43,100,1477,4,1,2,-1,0.009999999999999998,0.010000000000000002,33.0,39.679245283018865,51,8472,0.0060198300283286115
